category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
pathtraver,43,pathtraver-b0043-28b51a565a,BenchmarkTest00953;BenchmarkTest00954,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4831523,6174887,37509,34093
pathtraver,45,pathtraver-b0045-a3ff9180dd,BenchmarkTest00957;BenchmarkTest00958,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,661129,612209,37557,34137
pathtraver,46,pathtraver-b0046-dd2ef5b74c,BenchmarkTest01025;BenchmarkTest01026,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,624275,669198,37711,34294
pathtraver,48,pathtraver-b0048-6b8247d894,BenchmarkTest01029;BenchmarkTest01030,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,593152,895745,37514,34098
pathtraver,50,pathtraver-b0050-92e19cf858,BenchmarkTest01033;BenchmarkTest01034,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,655139,895620,37710,34293
pathtraver,51,pathtraver-b0051-a8f6846c09,BenchmarkTest01035;BenchmarkTest01036,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,527062,772521,37537,34119
pathtraver,60,pathtraver-b0060-37b6a4e1cf,BenchmarkTest01161;BenchmarkTest01231,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6624250,5142049,37488,34072
pathtraver,62,pathtraver-b0062-61cb34ba77,BenchmarkTest01234;BenchmarkTest01235,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,490522,765002,37467,34064
pathtraver,71,pathtraver-b0071-fb93f92d1a,BenchmarkTest01493;BenchmarkTest01494,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,7410994,4517833,37442,34039
pathtraver,73,pathtraver-b0073-4b9480b757,BenchmarkTest01497;BenchmarkTest01498,False,excluded,flowdroid-oom+termination-2,completed,,698161,384085,37676,34272
pathtraver,74,pathtraver-b0074-3ee86389b1,BenchmarkTest01499;BenchmarkTest01500,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,537534,800353,37505,34100
pathtraver,77,pathtraver-b0077-270bb00f2e,BenchmarkTest01574;BenchmarkTest01642,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4529890,6782145,37500,34084
pathtraver,79,pathtraver-b0079-74f16a1a91,BenchmarkTest01645;BenchmarkTest01646,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4210646,4549336,37497,34081
pathtraver,85,pathtraver-b0085-d788a17818,BenchmarkTest01833;BenchmarkTest01834,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,11959540,654229,37461,34045
pathtraver,86,pathtraver-b0086-7e90bfaa24,BenchmarkTest01835;BenchmarkTest01836,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,541879,804959,37473,34057
pathtraver,87,pathtraver-b0087-2a6d20c39e,BenchmarkTest01837;BenchmarkTest01838,False,excluded,flowdroid-oom+termination-2,completed,,710791,239634,37509,34091
pathtraver,89,pathtraver-b0089-11c6575c81,BenchmarkTest01841;BenchmarkTest01904,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,6183461,2946682,37730,34313
pathtraver,90,pathtraver-b0090-023e364ffd,BenchmarkTest01905;BenchmarkTest01906,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,3941424,4891139,37496,34080
pathtraver,102,pathtraver-b0102-0f7e5330d1,BenchmarkTest02106;BenchmarkTest02107,False,excluded,flowdroid-oom+termination-2,completed,,683063,220070,37281,33867
