category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,91,cmdi-b0091-f4cc2494e6,BenchmarkTest01940;BenchmarkTest01941,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,484117,5777217,38091,34259
cmdi,92,cmdi-b0092-fc10e0c43b,BenchmarkTest01942;BenchmarkTest01943,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,7095354,0,34025
cmdi,93,cmdi-b0093-4e3d8a91e8,BenchmarkTest01944;BenchmarkTest02058,True,completed,,completed,,45473,82627,37870,34029
cmdi,94,cmdi-b0094-ea351fef1a,BenchmarkTest02059;BenchmarkTest02067,True,completed,,completed,,50460,92256,37852,34010
cmdi,95,cmdi-b0095-8cd8772565,BenchmarkTest02068;BenchmarkTest02069,True,completed,,completed,,51149,87101,37861,34031
cmdi,96,cmdi-b0096-9d9553d3ea,BenchmarkTest02070;BenchmarkTest02137,True,completed,,completed,,50714,94185,37853,34023
cmdi,97,cmdi-b0097-53bfdd5e7b,BenchmarkTest02146;BenchmarkTest02147,True,completed,,completed,,46926,81889,37817,33974
cmdi,98,cmdi-b0098-dd02ab5de0,BenchmarkTest02148;BenchmarkTest02149,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,487306,912030,38043,34213
cmdi,99,cmdi-b0099-2ca2d995a8,BenchmarkTest02150;BenchmarkTest02151,True,completed,,completed,,56277,97329,37823,33995
cmdi,100,cmdi-b0100-6191f6ff03,BenchmarkTest02152;BenchmarkTest02153,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,464812,763976,38052,34234
cmdi,101,cmdi-b0101-e9ebe95046,BenchmarkTest02154;BenchmarkTest02155,True,completed,,completed,,47994,75486,37831,34014
cmdi,102,cmdi-b0102-f6479e515d,BenchmarkTest02156;BenchmarkTest02242,True,completed,,completed,,44669,80758,38048,34230
cmdi,103,cmdi-b0103-0bd4ab27b9,BenchmarkTest02243;BenchmarkTest02244,True,completed,,completed,,45934,84672,37767,33882
cmdi,104,cmdi-b0104-eeb7cc9e07,BenchmarkTest02249;BenchmarkTest02250,True,completed,,completed,,48887,94581,37822,33979
cmdi,105,cmdi-b0105-f151f753b2,BenchmarkTest02251;BenchmarkTest02252,True,completed,,completed,,47938,87212,37817,33989
cmdi,106,cmdi-b0106-d50e25714e,BenchmarkTest02253;BenchmarkTest02333,True,completed,,completed,,73313,149683,37841,34013
cmdi,107,cmdi-b0107-052ee24803,BenchmarkTest02334;BenchmarkTest02335,True,completed,,completed,,45436,97343,37749,33864
cmdi,108,cmdi-b0108-921408fa0c,BenchmarkTest02336;BenchmarkTest02340,True,completed,,completed,,49919,82609,38044,34214
cmdi,109,cmdi-b0109-fea53a1ddc,BenchmarkTest02341;BenchmarkTest02342,True,completed,,completed,,47052,80539,37825,34008
cmdi,110,cmdi-b0110-fc3355eda4,BenchmarkTest02343;BenchmarkTest02344,True,completed,,completed,,45596,81056,37845,34028
cmdi,111,cmdi-b0111-6de0974339,BenchmarkTest02411;BenchmarkTest02412,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,554054,684926,37935,34062
cmdi,112,cmdi-b0112-23b8d74a6e,BenchmarkTest02413;BenchmarkTest02414,True,completed,,completed,,56708,92709,37748,33863
cmdi,113,cmdi-b0113-58e05d4758,BenchmarkTest02428;BenchmarkTest02429,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,3968507,7064145,37844,34001
cmdi,114,cmdi-b0114-60b4534625,BenchmarkTest02430;BenchmarkTest02431,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,6820330,0,34194
cmdi,115,cmdi-b0115-fcc51f09f6,BenchmarkTest02432;BenchmarkTest02433,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,7004103,0,34019
cmdi,116,cmdi-b0116-ffe5331b78,BenchmarkTest02496;BenchmarkTest02510,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,474908,870115,38034,34215
cmdi,117,cmdi-b0117-11a5e66439,BenchmarkTest02511;BenchmarkTest02512,True,completed,,completed,,45544,80410,37809,33992
cmdi,118,cmdi-b0118-d187985faf,BenchmarkTest02513;BenchmarkTest02514,True,completed,,completed,,724154,275406,38000,34182
cmdi,119,cmdi-b0119-2788b9a4e6,BenchmarkTest02515;BenchmarkTest02516,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,5542955,0,34018
cmdi,120,cmdi-b0120-9f08b448d0,BenchmarkTest02517;BenchmarkTest02518,True,completed,,completed,,50065,82484,37832,34015
cmdi,121,cmdi-b0121-cae1100148,BenchmarkTest02610;BenchmarkTest02611,True,completed,,completed,,51381,83384,37878,34037
cmdi,122,cmdi-b0122-425c48ca88,BenchmarkTest02612;BenchmarkTest02613,True,completed,,completed,,48454,85678,37868,34038
cmdi,123,cmdi-b0123-2c76e5dd8f,BenchmarkTest02697;BenchmarkTest02698,True,completed,,completed,,46206,92410,37776,33891
